Console,Critic Score,Developer,Title,Japan Sales,Last Update,NA Sales,Other Sales,PAL Sales,Publisher,Release Date,Total Sales,Total Shipped,User Score,VGChartz Score
PS,9.5,Polyphony Digital,Gran Turismo,N/A,N/A,N/A,N/A,N/A,Sony Computer Entertainment,30th Apr 98,N/A,10.85m,N/A,N/A
PS,9.6,SquareSoft,Final Fantasy VII,N/A,23rd Mar 19,N/A,N/A,N/A,Sony Computer Entertainment,03rd Sep 97,N/A,9.90m,9.5,N/A
PS,9.2,Polyphony Digital,Gran Turismo 2,N/A,N/A,N/A,N/A,N/A,Sony Computer Entertainment,17th Jan 99,N/A,9.37m,N/A,N/A
PS,9.4,SquareSoft,Final Fantasy VIII,N/A,N/A,N/A,N/A,N/A,Square EA,07th Sep 99,N/A,8.60m,N/A,N/A
PS,9.6,Namco,Tekken 3,N/A,N/A,N/A,N/A,N/A,Namco,29th Apr 98,N/A,8.36m,N/A,N/A
PS,8,Argonaut Games,Harry Potter and the Sorcerer's Stone,N/A,N/A,N/A,N/A,N/A,Electronic Arts,15th Nov 01,N/A,8.00m,N/A,N/A
PS,7.8,Naughty Dog,Crash Bandicoot,N/A,N/A,N/A,N/A,N/A,Sony Computer Entertainment,01st Sep 96,N/A,6.82m,N/A,N/A
PS,8.5,Reflections Interactive,Driver,0.02m,N/A,3.11m,0.33m,2.80m,GT Interactive,30th Jun 99,6.27m,N/A,N/A,N/A
PS,9.1,Namco,Tekken 2,1.36m,N/A,2.26m,0.23m,1.89m,Namco,25th Aug 96,5.74m,N/A,N/A,N/A
PS,9.3,Naughty Dog,Crash Bandicoot 3: Warped,N/A,24th Sep 18,N/A,N/A,N/A,Sony Computer Entertainment,31st Oct 98,N/A,5.70m,N/A,N/A
PS,9.3,Konami Computer Entertainment Japan,Metal Gear Solid,N/A,05th Aug 23,N/A,N/A,N/A,Konami,21st Oct 98,N/A,5.51m,N/A,N/A
PS,9.2,SquareSoft,Final Fantasy IX,N/A,N/A,N/A,N/A,N/A,Square,13th Nov 00,N/A,5.50m,N/A,N/A
PS,7.6,Core Design Ltd.,Tomb Raider II,0.20m,N/A,2.30m,0.28m,2.46m,Eidos Interactive,31st Oct 97,5.24m,N/A,N/A,N/A
PS,9.6,Neversoft Entertainment,Tony Hawk's Pro Skater,0.02m,N/A,3.42m,0.20m,1.38m,Activision,31st Aug 99,5.02m,N/A,N/A,N/A
PS,N/A,Pumpkin Studios,Warzone 2100,N/A,N/A,2.79m,0.33m,1.89m,Eidos Interactive,31st May 99,5.01m,N/A,N/A,N/A
PS,9.3,Capcom,Resident Evil 2,N/A,N/A,N/A,N/A,N/A,Capcom,21st Jan 98,N/A,4.96m,N/A,N/A
PS,8.7,Insomniac Games,Spyro the Dragon,N/A,N/A,N/A,N/A,N/A,Sony Computer Entertainment,10th Sep 98,N/A,4.83m,N/A,N/A
PS,9.2,Naughty Dog,Crash Team Racing,0.44m,N/A,2.57m,0.21m,1.57m,Sony Computer Entertainment,30th Sep 99,4.79m,N/A,N/A,N/A
PS,7,Reflections Interactive,Driver 2,0.02m,N/A,2.36m,0.25m,2.10m,Atari,13th Nov 00,4.73m,N/A,N/A,N/A
PS,9.3,Neversoft Entertainment,Tony Hawk's Pro Skater 2,0.02m,N/A,3.05m,0.20m,1.41m,Activision,20th Sep 00,4.68m,N/A,N/A,N/A
PS,8.9,Core Design Ltd.,Tomb Raider,0.13m,N/A,2.29m,0.24m,1.97m,Eidos Interactive,14th Nov 96,4.63m,N/A,N/A,N/A
PS,8,Heart Beat,Dragon Quest VII,N/A,27th Mar 18,N/A,N/A,N/A,Enix,01st Nov 01,N/A,4.30m,3,N/A
PS,N/A,Millenium Interactive,Frogger,N/A,N/A,3.79m,0.11m,0.27m,Hasbro Interactive,30th Sep 97,4.16m,N/A,N/A,N/A
PS,8.6,Naughty Dog,Crash Bandicoot 2: Cortex Strikes Back,N/A,N/A,N/A,N/A,N/A,Sony Computer Entertainment,31st Oct 97,N/A,4.09m,N/A,N/A
PS,N/A,Namco,Namco Museum Vol.3,0.16m,N/A,2.28m,0.06m,1.55m,Namco,31st Jan 97,4.05m,N/A,N/A,N/A
PS,N/A,Namco,Namco Museum Vol.1,0.22m,N/A,2.12m,0.06m,1.44m,Namco,31st Jul 96,3.84m,N/A,N/A,N/A
PS,N/A,Yuke's,WWF SmackDown!,0.06m,N/A,2.01m,0.16m,1.35m,THQ,01st Mar 00,3.58m,N/A,N/A,N/A
PS,8.2,Core Design Ltd.,Tomb Raider III: Adventures of Lara Croft,0.12m,N/A,1.66m,0.18m,1.58m,Eidos Interactive,21st Nov 98,3.54m,N/A,N/A,N/A
PS,N/A,Avalanche Software,Rugrats in Paris: The Movie,N/A,N/A,1.96m,0.23m,1.33m,THQ,29th Oct 00,3.52m,N/A,N/A,N/A
PS,9.4,Capcom,Resident Evil 3: Nemesis,N/A,N/A,N/A,N/A,N/A,Capcom,11th Nov 99,N/A,3.50m,N/A,N/A
PS,8.7,Insomniac Games,Spyro 2: Ripto's Rage!,N/A,N/A,N/A,N/A,N/A,Sony Computer Entertainment,31st Oct 99,N/A,3.45m,N/A,N/A
PS,6.9,DMA Design,Grand Theft Auto 2,N/A,N/A,1.13m,0.22m,2.07m,Rockstar Games,25th Oct 99,3.42m,N/A,N/A,N/A
PS,6.8,Eurocom Entertainment Software,Crash Bash,0.19m,N/A,1.56m,0.17m,1.47m,Sony Computer Entertainment,06th Nov 00,3.39m,N/A,N/A,N/A
PS,N/A,Iguana Entertainment,WWF War Zone,N/A,N/A,2.47m,0.13m,0.76m,Acclaim Entertainment,14th Jul 98,3.36m,N/A,N/A,N/A
PS,9.1,Insomniac Games,Spyro: Year of the Dragon,N/A,N/A,N/A,N/A,N/A,Sony Computer Entertainment,23rd Oct 00,N/A,3.28m,N/A,N/A
PS,6.2,Black Ops Entertainment,007: Tomorrow Never Dies,N/A,N/A,1.72m,0.16m,1.33m,Electronic Arts,16th Nov 99,3.21m,N/A,N/A,N/A
PS,8.7,Yuke's,WWF SmackDown! 2: Know Your Role,0.07m,N/A,1.76m,0.16m,1.21m,THQ,21st Nov 00,3.20m,N/A,N/A,N/A
PS,N/A,Neversoft Entertainment,Spider-Man,0.02m,N/A,1.70m,0.16m,1.25m,Activision,30th Aug 00,3.13m,N/A,N/A,N/A
PS,N/A,EA Canada,Need for Speed III: Hot Pursuit,N/A,N/A,2.14m,0.13m,0.86m,Electronic Arts,25th Mar 98,3.12m,N/A,N/A,N/A
PS,7,Ubisoft Montpellier,Rayman,N/A,N/A,1.54m,0.16m,1.33m,Ubisoft,01st Sep 95,3.03m,N/A,N/A,N/A
PS,7.6,Argonaut Games,Croc: Legend of the Gobbos,N/A,N/A,N/A,N/A,N/A,Fox Interactive,29th Sep 97,N/A,3.00m,N/A,N/A
PS,7.9,Codemasters,Colin McRae Rally,0.12m,N/A,0.09m,0.22m,2.43m,Sony Computer Entertainment,31st Jan 00,2.87m,N/A,N/A,N/A
PS,N/A,Camelot Software Planning,Hot Shots Golf,2.13m,N/A,0.29m,0.18m,0.20m,Sony Computer Entertainment,05th May 98,2.79m,N/A,N/A,N/A
PS,3.6,Traveller's Tales,A Bug's Life,N/A,N/A,1.96m,0.11m,0.72m,Sony Computer Entertainment,31st Oct 98,2.79m,N/A,N/A,N/A
PS,N/A,Avalanche Software,Mortal Kombat Trilogy,N/A,N/A,1.98m,0.11m,0.70m,Midway Games,01st Sep 96,2.79m,N/A,N/A,N/A
PS,8.6,Capcom,Resident Evil,N/A,N/A,N/A,N/A,N/A,Capcom,30th Mar 96,N/A,2.75m,N/A,N/A
PS,9.3,DreamWorks Interactive,Medal of Honor,N/A,N/A,1.44m,0.14m,1.09m,Electronic Arts,11th Nov 99,2.67m,N/A,N/A,N/A
PS,N/A,Camelot Software Planning,Hot Shots Golf,2.13m,N/A,0.26m,N/A,0.17m,Sony Computer Entertainment,05th May 98,2.56m,N/A,N/A,N/A
PS,8.8,SquareSoft,Final Fantasy Tactics,N/A,N/A,N/A,N/A,N/A,Sony Computer Entertainment,28th Jan 98,N/A,2.50m,N/A,N/A
PS,N/A,Core Design Ltd.,Tomb Raider: The Last Revelation,0.06m,N/A,1.15m,0.13m,1.14m,Eidos Interactive,22nd Nov 99,2.48m,N/A,N/A,N/A
PS,8.7,SingleTrac,Twisted Metal 2,N/A,N/A,2.12m,0.07m,0.25m,Sony Computer Entertainment,31st Oct 96,2.44m,N/A,N/A,N/A
PS,N/A,Atlus Co.,Tetris Plus,N/A,N/A,2.10m,0.07m,0.24m,Jaleco,18th Oct 96,2.40m,N/A,N/A,N/A
PS,8.9,Capcom Production Studio 4,Dino Crisis,N/A,N/A,N/A,N/A,N/A,Capcom,31st Aug 99,N/A,2.40m,N/A,N/A
PS,6,DMA Design,Grand Theft Auto,0.04m,N/A,0.79m,0.14m,1.35m,Take-Two Interactive,30th Jun 98,2.32m,N/A,N/A,N/A
PS,N/A,EA Canada,Need for Speed: High Stakes,N/A,N/A,1.58m,0.09m,0.64m,Electronic Arts,01st Mar 99,2.31m,N/A,N/A,N/A
PS,N/A,Idol Minds Digital Entertainment,Cool Boarders 3,0.10m,N/A,1.65m,0.10m,0.46m,989 Studios,28th Oct 98,2.31m,N/A,N/A,N/A
PS,N/A,UEP Systems,Cool Boarders 2,0.20m,N/A,1.52m,0.08m,0.46m,Sony Computer Entertainment,31st Oct 97,2.25m,N/A,N/A,N/A
PS,7,Namco,Air Combat,N/A,N/A,N/A,N/A,N/A,Namco,29th Jun 95,N/A,2.23m,N/A,N/A
PS,N/A,Eidetic,Syphon Filter 2,0.02m,N/A,1.50m,0.08m,0.55m,989 Studios,29th Feb 00,2.15m,N/A,N/A,N/A
PS,N/A,Big Grub,Spec Ops: Airborne Commando,N/A,N/A,1.54m,0.08m,0.46m,Gotham Games,31st Oct 02,2.07m,N/A,N/A,N/A
PS,9.1,Namco,R4: Ridge Racer Type 4,0.79m,N/A,0.68m,0.13m,0.46m,Namco,04th May 99,2.06m,N/A,N/A,N/A
PS,8.9,KCET,Silent Hill,N/A,N/A,N/A,N/A,N/A,Konami,31st Jan 99,N/A,2.00m,N/A,N/A
PS,7,KCEJ,Yu-Gi-Oh! Forbidden Memories,N/A,N/A,N/A,N/A,N/A,Konami,20th Mar 02,N/A,2.00m,N/A,N/A
PS,8.8,Acquire,Tenchu: Stealth Assassins,0.27m,N/A,0.95m,0.13m,0.64m,Activision,31st Aug 98,1.99m,N/A,N/A,N/A
PS,N/A,Argonaut Games,Harry Potter and the Chamber of Secrets,0.02m,N/A,0.75m,0.12m,1.09m,Electronic Arts,14th Nov 02,1.98m,N/A,N/A,N/A
PS,N/A,Art,Scooby Doo and the Cyber Chase,N/A,N/A,0.59m,0.13m,1.23m,THQ,04th Oct 01,1.94m,N/A,N/A,N/A
PS,N/A,SingleTrac,Jet Moto 2,0.03m,N/A,1.41m,0.07m,0.42m,Sony Computer Entertainment,31st Oct 97,1.94m,N/A,N/A,N/A
PS,7.9,SquareSoft,Parasite Eve,N/A,N/A,N/A,N/A,N/A,Square EA,09th Sep 98,N/A,1.90m,N/A,N/A
PS,N/A,Clap Hanz,Hot Shots Golf 2,1.48m,N/A,0.25m,0.03m,0.12m,Sony Computer Entertainment,29th Feb 00,1.88m,N/A,N/A,N/A
PS,N/A,Inland Productions,WCW Nitro,0.03m,N/A,1.42m,0.07m,0.36m,THQ,31st Jan 98,1.88m,N/A,N/A,N/A
PS,8.8,EA Canada,FIFA 2000,0.04m,N/A,0.22m,0.14m,1.47m,EA Sports,09th Oct 99,1.87m,N/A,N/A,N/A
PS,7.8,SCEI,The Legend of Dragoon,0.39m,N/A,0.94m,0.10m,0.44m,Sony Computer Entertainment,11th Jun 00,1.86m,N/A,6.5,N/A
PS,N/A,SingleTrac,Jet Moto,0.03m,N/A,1.33m,0.07m,0.40m,Sony Computer Entertainment,31st Oct 96,1.83m,N/A,N/A,N/A
PS,N/A,Red Zone Entertainment,NFL GameDay 2000,N/A,N/A,1.00m,0.12m,0.68m,989 Studios,31st Jul 99,1.80m,N/A,N/A,N/A
PS,N/A,Climax Group,SpongeBob SquarePants: SuperSponge,N/A,N/A,1.12m,0.08m,0.58m,THQ,21st Sep 01,1.78m,N/A,N/A,N/A
PS,N/A,Acclaim Entertainment,WWF Attitude,N/A,N/A,1.27m,0.07m,0.42m,Acclaim Entertainment,31st Jul 99,1.76m,N/A,N/A,N/A
PS,N/A,EA Tiburon,Madden NFL 2000,N/A,N/A,1.68m,0.04m,0.04m,EA Sports,31st Jul 99,1.75m,N/A,N/A,N/A
PS,N/A,Big Ape Productions,Star Wars Episode I: The Phantom Menace,0.04m,N/A,0.72m,0.10m,0.89m,LucasArts,31st Aug 99,1.74m,N/A,N/A,N/A
PS,4.4,989 Studios,Twisted Metal III,N/A,N/A,1.48m,0.05m,0.20m,989 Studios,31st Oct 98,1.73m,N/A,N/A,N/A
PS,N/A,Traveller's Tales,Toy Story 2: Buzz Lightyear to the Rescue!,N/A,N/A,0.99m,0.08m,0.64m,Activision,30th Nov 99,1.71m,N/A,N/A,N/A
PS,9.7,SquareSoft,Chrono Cross,N/A,N/A,N/A,N/A,N/A,Square EA,15th Aug 00,N/A,1.70m,9.8,N/A
PS,N/A,Sony Computer Entertainment America,Jampack Winter '99,N/A,N/A,0.94m,0.11m,0.64m,Sony Computer Entertainment,01st Oct 99,1.69m,N/A,N/A,N/A
PS,8.5,Namco,Time Crisis,0.33m,N/A,0.38m,0.10m,0.87m,Namco,31st Oct 97,1.68m,N/A,N/A,N/A
PS,N/A,EA Sports,Madden NFL 2001,N/A,N/A,1.58m,0.04m,0.05m,EA Sports,22nd Aug 00,1.67m,N/A,N/A,N/A
PS,N/A,Neversoft,Tony Hawk's Pro Skater 3,0.02m,N/A,1.09m,0.07m,0.49m,Activision,28th Oct 01,1.67m,N/A,N/A,N/A
PS,N/A,Rebellion Developments,Tom Clancy's Rainbow Six,N/A,N/A,0.93m,0.08m,0.63m,Red Storm Entertainment,23rd Nov 99,1.64m,N/A,N/A,N/A
PS,9.3,SCE Japan Studio,Ape Escape,0.32m,16th Sep 18,0.71m,0.11m,0.48m,Sony Computer Entertainment,31st May 99,1.63m,N/A,N/A,N/A
PS,N/A,EA Canada,Sled Storm,N/A,N/A,0.90m,0.11m,0.61m,Electronic Arts,10th Aug 99,1.62m,N/A,N/A,N/A
PS,8.6,Namco,Soul Blade,0.46m,N/A,0.61m,0.10m,0.41m,Namco,01st Jan 97,1.59m,N/A,N/A,N/A
PS,N/A,Stormfront Studios,NASCAR 2000,N/A,N/A,0.88m,0.10m,0.60m,EA Sports,30th Sep 99,1.59m,N/A,N/A,N/A
PS,N/A,Sony Computer Entertainment America,Jampack Summer 2K,N/A,N/A,0.88m,0.10m,0.60m,Sony Computer Entertainment,15th May 00,1.58m,N/A,N/A,N/A
PS,7,SingleTrac,Twisted Metal,N/A,N/A,1.32m,0.05m,0.19m,Sony Computer Entertainment,05th Nov 95,1.56m,N/A,N/A,N/A
PS,N/A,Vicarious Visions,Spider-Man 2: Enter: Electro,0.02m,N/A,0.57m,0.09m,0.87m,Activision,17th Oct 01,1.55m,N/A,N/A,N/A
PS,8.5,Probe Entertainment Limited,Die Hard Trilogy,N/A,N/A,0.85m,0.10m,0.58m,Fox Interactive,31st Aug 96,1.54m,N/A,N/A,N/A
PS,N/A,Red Line Studios,NFL GameDay 99,N/A,N/A,1.44m,0.04m,0.05m,989 Studios,31st Jul 98,1.53m,N/A,N/A,N/A
PS,N/A,EA Sports,Tiger Woods 99 PGA Tour Golf,N/A,N/A,0.85m,0.10m,0.58m,EA Sports,31st Oct 98,1.53m,N/A,N/A,N/A
PS,N/A,Press Start Inc.,Knockout Kings,N/A,N/A,1.07m,0.06m,0.39m,EA Sports,31st Oct 98,1.52m,N/A,N/A,N/A
PS,N/A,Stormfront Studios,NASCAR 98,N/A,N/A,1.43m,0.04m,0.05m,EA Sports,01st Jan 97,1.52m,N/A,N/A,N/A
PS,N/A,Stormfront Studios,NASCAR 99,N/A,N/A,1.45m,0.04m,0.04m,EA Sports,30th Sep 98,1.52m,N/A,N/A,N/A
PS,N/A,NuFX,NBA Live 2000,N/A,N/A,1.43m,0.03m,0.05m,EA Sports,31st Oct 99,1.52m,N/A,N/A,N/A
PS,N/A,Big Ape Productions,Simpsons Wrestling,N/A,N/A,0.23m,0.11m,1.16m,Activision,12th Apr 01,1.51m,N/A,N/A,N/A
PS,N/A,EA Canada,NBA Live 98,N/A,N/A,1.41m,0.04m,0.06m,EA Sports,30th Nov 97,1.51m,N/A,N/A,N/A
PS,N/A,Gremlin Interactive,Monopoly,N/A,N/A,1.18m,0.05m,0.27m,Hasbro Interactive,31st Oct 97,1.51m,N/A,N/A,N/A
PS,9.1,Midway Games,NFL Blitz,N/A,N/A,1.41m,0.04m,0.05m,Midway Games,12th Sep 98,1.50m,N/A,N/A,N/A
PS,N/A,n-Space,Rugrats: Search For Reptar,N/A,N/A,N/A,N/A,N/A,THQ,31st Oct 98,N/A,1.50m,N/A,N/A
PS,N/A,Namco,Pac-Man World,0.10m,N/A,1.21m,0.04m,0.14m,Namco,30th Sep 99,1.50m,N/A,N/A,N/A
PS,N/A,Treyarch,Triple Play 99,N/A,02nd Jan 18,0.81m,0.10m,0.55m,EA Sports,28th Feb 98,1.46m,N/A,N/A,N/A
PS,N/A,Eurocom Entertainment Software,Mortal Kombat 4,N/A,N/A,0.81m,0.10m,0.55m,Midway Games,24th Jun 98,1.46m,N/A,N/A,N/A
PS,N/A,Aki Corp.,WCW vs the World,0.04m,N/A,1.17m,0.05m,0.20m,THQ,28th Feb 98,1.46m,N/A,N/A,N/A
PS,N/A,Blitz Games,Frogger 2: Swampy's Revenge,N/A,N/A,0.80m,0.09m,0.54m,Hasbro Interactive,10th Oct 00,1.43m,N/A,N/A,N/A
PS,N/A,Treyarch,Triple Play 2000,N/A,N/A,0.79m,0.09m,0.54m,EA Sports,28th Feb 99,1.43m,N/A,N/A,N/A
PS,N/A,EA Sports,Knockout Kings 2000,N/A,N/A,1.02m,0.05m,0.34m,EA Sports,31st Oct 99,1.41m,N/A,N/A,N/A
PS,8.3,SCEA,2Xtreme,N/A,N/A,1.15m,0.05m,0.20m,Sony Computer Entertainment,31st Oct 96,1.40m,N/A,N/A,N/A
PS,8.6,989 Studios,NFL GameDay 98,N/A,N/A,N/A,N/A,N/A,Sony Computer Entertainment,31st Jul 97,N/A,1.40m,N/A,N/A
PS,N/A,EA Sports,Madden NFL 2002,N/A,N/A,0.78m,0.09m,0.53m,EA Sports,13th Aug 01,1.39m,N/A,N/A,N/A
PS,N/A,n-Space,Duke Nukem: Time to Kill,N/A,N/A,0.77m,0.07m,0.54m,GT Interactive,30th Sep 98,1.38m,N/A,N/A,N/A
PS,3.8,"Livesay Technologies, Inc.",A Collection of Activision Classic Games for the Atari 2600,N/A,N/A,0.76m,0.09m,0.52m,Activision,23rd Sep 98,1.37m,N/A,N/A,N/A
PS,N/A,Konami Computer Entertainment Tokyo,Dance Dance Revolution (Japan),1.26m,N/A,N/A,0.09m,N/A,Konami,10th Apr 99,1.35m,N/A,N/A,N/A
PS,N/A,EA Tiburon,Madden NFL 98,N/A,N/A,1.29m,0.03m,0.03m,EA Sports,31st Jul 97,1.35m,N/A,N/A,N/A
PS,N/A,Treyarch,Triple Play 2001,N/A,N/A,0.74m,0.09m,0.50m,EA Sports,14th Mar 00,1.33m,N/A,N/A,N/A
PS,N/A,Codemasters,TOCA 2 Touring Car Championship,0.02m,N/A,0.03m,0.11m,1.16m,Codemasters,31st Oct 99,1.32m,N/A,N/A,N/A
PS,N/A,Core Design Ltd.,Fighting Force,N/A,N/A,0.73m,0.09m,0.50m,Eidos Interactive,31st Oct 97,1.32m,N/A,N/A,N/A
PS,N/A,EA Tiburon,Madden NFL 97,N/A,N/A,0.73m,0.09m,0.50m,EA Sports,31st Aug 96,1.32m,N/A,N/A,N/A
PS,N/A,Gremlin Interactive,TNN Motor Sports Hardcore 4x4,N/A,N/A,0.73m,0.09m,0.50m,ASC Games,30th Nov 96,1.31m,N/A,N/A,N/A
PS,N/A,n-Space,Rugrats Studio Tour,N/A,N/A,0.57m,0.07m,0.67m,THQ,10th Nov 99,1.31m,N/A,N/A,N/A
PS,N/A,Heart Beat,Dragon Quest IV: Michibikareshi Monotachi,N/A,N/A,N/A,N/A,N/A,Enix,22nd Nov 01,N/A,1.30m,N/A,N/A
PS,8,SquareSoft,SaGa Frontier,N/A,N/A,N/A,N/A,N/A,Sony Computer Entertainment,31st Mar 98,N/A,1.30m,N/A,N/A
PS,N/A,Pitbull Syndicate,Test Drive 5,N/A,N/A,1.05m,0.05m,0.20m,Accolade,30th Sep 98,1.30m,N/A,N/A,N/A
PS,7.8,SquareSoft,Xenogears,N/A,N/A,N/A,N/A,N/A,Square,20th Oct 98,N/A,1.30m,N/A,N/A
PS,N/A,Bandai,Digimon World,0.28m,N/A,0.56m,0.08m,0.38m,Bandai,23rd May 00,1.30m,N/A,N/A,N/A
PS,N/A,3DO,Army Men 3D,N/A,N/A,1.10m,0.04m,0.14m,3DO,28th Feb 99,1.28m,N/A,N/A,N/A
PS,6.7,989 Studios,Twisted Metal 4,N/A,N/A,1.07m,0.04m,0.16m,989 Studios,31st Oct 99,1.28m,N/A,N/A,N/A
PS,9.3,Konami Computer Entertainment Tokyo,Castlevania: Symphony of the Night,0.21m,N/A,0.58m,0.08m,0.40m,Konami,02nd Oct 97,1.27m,N/A,8.7,N/A
PS,N/A,Advanced Technology Group,Road Rash,N/A,N/A,0.71m,0.08m,0.48m,Electronic Arts,29th Dec 95,1.27m,N/A,N/A,N/A
PS,9,Konami,Metal Gear Solid Integral,N/A,N/A,N/A,N/A,N/A,Konami,26th Jun 99,N/A,1.27m,N/A,N/A
PS,N/A,Tamsoft,Battle Arena Toshinden,0.53m,N/A,0.39m,0.08m,0.26m,Sony Computer Entertainment,09th Sep 95,1.27m,N/A,N/A,N/A
PS,N/A,Shift,Devil Dice,1.10m,N/A,0.05m,0.08m,0.03m,THQ,30th Jun 98,1.26m,N/A,N/A,N/A
PS,N/A,Codemasters,Brian Lara Cricket,0.01m,N/A,0.02m,0.10m,1.13m,Codemasters,01st Dec 98,1.26m,N/A,N/A,N/A
PS,N/A,Artech Studios,Wheel of Fortune,N/A,N/A,0.99m,0.04m,0.22m,Hasbro Interactive,15th Dec 98,1.26m,N/A,N/A,N/A
PS,N/A,EA Canada,NBA Live 2001,N/A,N/A,0.70m,0.08m,0.47m,EA Sports,16th Oct 00,1.25m,N/A,N/A,N/A
PS,N/A,Pack-In Video,Reel Fishing,0.10m,N/A,0.99m,0.04m,0.13m,Natsume,31st Mar 98,1.25m,N/A,N/A,N/A
PS,N/A,Electronic Arts,Road Rash 3D,N/A,N/A,1.05m,0.04m,0.16m,Electronic Arts,31st May 98,1.25m,N/A,N/A,N/A
PS,8.3,Oddworld Inhabitants,Oddworld: Abe's Oddysee,N/A,N/A,0.75m,0.06m,0.44m,GT Interactive,31st Aug 97,1.24m,N/A,N/A,N/A
PS,N/A,Various,Disney's Tarzan / Disney's Aladdin in Nasira's Revenge / Disney's The Emperor's New Groove Action Game,N/A,N/A,0.69m,0.08m,0.47m,Sony Computer Entertainment,15th Apr 03,1.23m,N/A,N/A,N/A
PS,N/A,"Luxoflux, Inc.",Vigilante 8,N/A,N/A,0.68m,0.08m,0.47m,Activision,31st May 98,1.23m,N/A,N/A,N/A
PS,7.4,Sony Computer Entertainment,Intelligent Qube,1.00m,N/A,0.13m,0.02m,0.07m,Sony Computer Entertainment,30th Sep 97,1.22m,N/A,N/A,N/A
PS,8.3,NuFX,NBA Live 99,N/A,N/A,1.13m,0.03m,0.05m,EA Sports,31st Oct 98,1.22m,N/A,N/A,N/A
PS,N/A,Maxis,SimCity 2000,N/A,N/A,0.68m,0.08m,0.46m,Maxis,09th Jul 96,1.22m,N/A,N/A,N/A
PS,N/A,Kodiak Interactive,WCW Mayhem,N/A,N/A,0.68m,0.08m,0.46m,Electronic Arts,22nd Sep 99,1.22m,N/A,N/A,N/A
PS,N/A,LucasArts,Star Wars Episode 1: Jedi Power Battles,0.01m,N/A,0.66m,0.06m,0.48m,LucasArts,31st Mar 00,1.21m,N/A,N/A,N/A
PS,N/A,Pitbull Syndicate,Test Drive 4,N/A,N/A,0.67m,0.08m,0.46m,Accolade,30th Sep 97,1.21m,N/A,N/A,N/A
PS,8.8,Capcom Production Studio 4,Dino Crisis 2,N/A,N/A,N/A,N/A,N/A,Capcom,29th Sep 00,N/A,1.20m,N/A,N/A
PS,7.4,SquareSoft,Parasite Eve II,N/A,N/A,N/A,N/A,N/A,Square EA,12th Jan 00,N/A,1.20m,N/A,N/A
PS,N/A,Capcom,Resident Evil Director's Cut: Dual Shock Edition,N/A,N/A,N/A,N/A,N/A,Capcom,01st Jan 98,N/A,1.20m,N/A,N/A
PS,N/A,Electronic Arts,Nuclear Strike,N/A,N/A,0.66m,0.08m,0.45m,Electronic Arts,31st Aug 97,1.19m,N/A,N/A,N/A
PS,6.8,Konami Computer Entertainment Japan,Metal Gear Solid VR Missions,N/A,N/A,0.66m,0.08m,0.45m,Konami,24th Sep 99,1.18m,N/A,N/A,N/A
PS,N/A,EA Tiburon,Soviet Strike,N/A,N/A,0.65m,0.08m,0.44m,Electronic Arts,31st Oct 96,1.17m,N/A,N/A,N/A
PS,N/A,Idol Minds Digital Entertainment,Cool Boarders 4,N/A,N/A,0.65m,0.08m,0.44m,989 Studios,01st Jan 99,1.17m,N/A,N/A,N/A
PS,N/A,Namco,Rage Racer,0.83m,N/A,0.16m,0.08m,0.11m,Namco,30th Apr 97,1.17m,N/A,N/A,N/A
PS,7.6,Namco,Ace Combat 3: Electrosphere,N/A,N/A,N/A,N/A,N/A,Namco,02nd Mar 00,N/A,1.16m,N/A,N/A
PS,8.2,Light Weight,Bushido Blade,0.43m,N/A,0.39m,0.08m,0.27m,Sony Computer Entertainment,30th Sep 97,1.16m,N/A,N/A,N/A
PS,N/A,Motivetime,Test Drive: Off Road,N/A,N/A,0.65m,0.08m,0.44m,Accolade,28th Feb 97,1.16m,N/A,N/A,N/A
PS,N/A,Syrox Developments,Asteroids,N/A,N/A,0.64m,0.07m,0.43m,Activision,31st Oct 98,1.15m,N/A,N/A,N/A
PS,N/A,Compile,Puyo Puyo Sun Ketteiban,1.07m,N/A,N/A,0.07m,N/A,Compile,27th Nov 97,1.15m,N/A,N/A,N/A
PS,5.1,Unknown,Action Bass,N/A,N/A,0.64m,0.07m,0.43m,Take-Two Interactive,14th Jul 00,1.14m,N/A,N/A,N/A
PS,8.4,SquareSoft,Brave Fencer Musashi,0.65m,N/A,0.25m,0.07m,0.17m,Square,31st Oct 98,1.14m,N/A,N/A,N/A
PS,6.2,Wolfteam,Tales of Destiny,N/A,N/A,N/A,N/A,N/A,Namco,30th Sep 98,N/A,1.14m,N/A,N/A
PS,N/A,ParityBit,Derby Stallion 99,1.06m,N/A,N/A,0.07m,N/A,ASCII Entertainment,30th Sep 99,1.13m,N/A,N/A,N/A
PS,8.3,Capcom,Resident Evil Director's Cut,N/A,N/A,N/A,N/A,N/A,Capcom,01st Jan 97,N/A,1.13m,N/A,N/A
PS,N/A,EA Sports,Madden NFL 99,N/A,N/A,N/A,N/A,N/A,EA Sports,31st Jul 98,N/A,1.13m,N/A,N/A
PS,N/A,Sony Computer Entertainment America,Jampack Winter '98,N/A,N/A,0.63m,0.07m,0.43m,Sony Computer Entertainment,01st Oct 98,1.13m,N/A,N/A,N/A
PS,N/A,EA Sports,Triple Play 98,N/A,N/A,0.61m,0.07m,0.42m,EA Sports,30th Apr 97,1.10m,N/A,N/A,N/A
